date,1. open,2. high,3. low,4. close,5. volume
2017-10-06,24.41,24.54,24.13,24.39,39735369.0
2017-10-09,24.1,24.15,23.25,23.43,139824721.0
2017-10-10,23.7,23.8553,23.32,23.36,80668206.0
2017-10-11,23.13,23.27,22.9,23.07,80141522.0
2017-10-12,23.05,23.09,22.83,23.05,59756484.0
2017-10-13,23.15,23.23,22.96,22.98,40311505.0
2017-10-16,22.99,23.48,22.93,23.36,49557557.0
2017-10-17,23.22,23.25,23.0,23.19,57516310.0
2017-10-18,23.2,23.28,23.07,23.12,34286164.0
2017-10-19,23.14,23.78,23.05,23.58,74198697.0
2017-10-20,22.14,23.84,22.1,23.83,190095985.0
2017-10-23,23.44,23.44,22.18,22.32,184497512.0
2017-10-24,22.12,22.31,21.75,21.89,125427813.0
2017-10-25,21.84,21.89,21.3,21.525,101729417.0
2017-10-26,21.57,21.65,21.2,21.32,83508306.0
2017-10-27,21.26,21.3,20.64,20.79,97382227.0
2017-10-30,20.62,20.72,20.26,20.41,96260695.0
2017-10-31,20.26,20.4,20.05,20.16,97437586.0
2017-11-01,20.07,20.52,19.96,20.02,91187931.0
2017-11-02,20.05,20.075,19.63,19.94,79022208.0
2017-11-03,19.92,20.33,19.86,20.14,66914071.0
2017-11-06,20.52,20.53,20.08,20.13,57269858.0
2017-11-07,20.17,20.25,20.12,20.21,41338656.0
2017-11-08,20.21,20.32,20.07,20.12,39682539.0
2017-11-09,20.04,20.071,19.85,19.99,50136325.0
2017-11-10,19.98,20.68,19.9,20.49,99631330.0
2017-11-13,20.26,20.75,18.7501,19.02,260824111.0
2017-11-14,18.79,18.88,17.46,17.9,311665375.0
2017-11-15,17.51,18.38,17.5,18.26,144197713.0
2017-11-16,18.48,18.48,18.05,18.25,89297825.0
2017-11-17,18.34,18.47,18.21,18.21,60294057.0
2017-11-20,18.13,18.13,17.83,17.98,63804983.0
2017-11-21,17.95,18.07,17.7,17.83,77568597.0
2017-11-22,17.87,18.25,17.84,18.15,54658985.0
2017-11-24,18.38,18.38,18.15,18.19,24892808.0
2017-11-27,18.34,18.5,18.09,18.12,73588820.0
2017-11-28,18.17,18.44,18.06,18.41,54260939.0
2017-11-29,18.45,18.54,18.31,18.48,54775688.0
2017-11-30,18.56,18.59,18.18,18.29,66748905.0
2017-12-01,18.28,18.28,17.86,17.88,80919946.0
2017-12-04,18.0,18.06,17.88,17.95,66514531.0
2017-12-05,17.98,18.01,17.67,17.76,65734107.0
2017-12-06,17.75,17.84,17.6,17.66,43374084.0
2017-12-07,17.66,18.06,17.63,17.71,55419450.0
2017-12-08,17.74,17.82,17.66,17.71,53886374.0
2017-12-11,17.72,17.79,17.53,17.65,57950734.0
2017-12-12,17.66,18.04,17.65,17.91,66524488.0
2017-12-13,17.92,17.99,17.76,17.76,41644500.0
2017-12-14,17.765,17.82,17.64,17.64,47901240.0
2017-12-15,17.75,17.83,17.66,17.82,76297556.0
2017-12-18,17.84,18.05,17.75,17.76,53494382.0
2017-12-19,17.76,17.8,17.55,17.59,65387495.0
2017-12-20,17.6,17.65,17.36,17.45,75290306.0
